FID IID SEX AFF PC1 PC2 Population
HG01486 HG01486 0 1 -0.0107 0.0126 CLM
HG01488 HG01488 0 1 -0.0037 0.0165 CLM
HG01489 HG01489 0 1 -0.0097 0.0216 CLM
HG01492 HG01492 0 1 -0.0098 0.0190 CLM
HG01494 HG01494 0 1 -0.0079 0.0072 CLM
HG01495 HG01495 0 1 -0.0072 0.0075 CLM
HG01497 HG01497 0 1 -0.0102 0.0122 CLM
HG01498 HG01498 0 1 -0.0094 0.0117 CLM
HG01500 HG01500 0 1 -0.0089 0.0263 IBS
HG01501 HG01501 0 1 -0.0084 0.0264 IBS
HG01503 HG01503 0 1 -0.0096 0.0279 IBS
HG01504 HG01504 0 1 -0.0090 0.0268 IBS
HG01506 HG01506 0 1 -0.0092 0.0272 IBS
HG01507 HG01507 0 1 -0.0094 0.0269 IBS
HG01509 HG01509 0 1 -0.0086 0.0273 IBS
HG01510 HG01510 0 1 -0.0095 0.0275 IBS
HG01512 HG01512 0 1 -0.0098 0.0283 IBS
HG01513 HG01513 0 1 -0.0096 0.0276 IBS
HG01515 HG01515 0 1 -0.0100 0.0282 IBS
HG01516 HG01516 0 1 -0.0100 0.0288 IBS
HG01518 HG01518 0 1 -0.0100 0.0285 IBS
HG01519 HG01519 0 1 -0.0099 0.0291 IBS
HG01521 HG01521 0 1 -0.0103 0.0284 IBS
HG01522 HG01522 0 1 -0.0103 0.0275 IBS
HG01524 HG01524 0 1 -0.0095 0.0271 IBS
HG01525 HG01525 0 1 -0.0091 0.0263 IBS
HG01527 HG01527 0 1 -0.0085 0.0268 IBS
HG01528 HG01528 0 1 -0.0093 0.0272 IBS
HG01530 HG01530 0 1 -0.0091 0.0265 IBS
HG01531 HG01531 0 1 -0.0088 0.0267 IBS
HG01536 HG01536 0 1 -0.0091 0.0272 IBS
HG01537 HG01537 0 1 -0.0095 0.0277 IBS
HG01550 HG01550 0 1 -0.0093 0.0165 CLM
HG01551 HG01551 0 1 0.0063 0.0056 CLM
HG01556 HG01556 0 1 -0.0021 0.0069 CLM
HG01565 HG01565 0 1 -0.0139 -0.0006 PEL
HG01566 HG01566 0 1 -0.0123 0.0079 PEL
HG01571 HG01571 0 1 -0.0141 0.0009 PEL
HG01572 HG01572 0 1 -0.0162 -0.0105 PEL
HG01577 HG01577 0 1 -0.0099 0.0084 PEL
HG01578 HG01578 0 1 -0.0133 0.0025 PEL
HG01583 HG01583 0 1 -0.0100 0.0117 PJL
HG01586 HG01586 0 1 -0.0106 0.0110 PJL
HG01589 HG01589 0 1 -0.0104 0.0126 PJL
HG01593 HG01593 0 1 -0.0102 0.0139 PJL
HG01595 HG01595 0 1 -0.0171 -0.0329 KHV
HG01596 HG01596 0 1 -0.0166 -0.0320 KHV
HG01597 HG01597 0 1 -0.0164 -0.0333 KHV
HG01598 HG01598 0 1 -0.0169 -0.0327 KHV
HG01599 HG01599 0 1 -0.0165 -0.0328 KHV
HG01600 HG01600 0 1 -0.0169 -0.0338 KHV
HG01602 HG01602 0 1 -0.0090 0.0261 IBS
HG01603 HG01603 0 1 -0.0091 0.0266 IBS
HG01605 HG01605 0 1 -0.0096 0.0270 IBS
HG01606 HG01606 0 1 -0.0096 0.0279 IBS
HG01607 HG01607 0 1 -0.0098 0.0273 IBS
HG01608 HG01608 0 1 -0.0090 0.0267 IBS
HG01610 HG01610 0 1 -0.0088 0.0274 IBS
HG01612 HG01612 0 1 -0.0085 0.0270 IBS
HG01613 HG01613 0 1 -0.0096 0.0273 IBS
HG01615 HG01615 0 1 -0.0092 0.0271 IBS
HG01617 HG01617 0 1 -0.0095 0.0265 IBS
HG01618 HG01618 0 1 -0.0089 0.0264 IBS
HG01619 HG01619 0 1 -0.0090 0.0275 IBS
HG01620 HG01620 0 1 -0.0093 0.0268 IBS
HG01623 HG01623 0 1 -0.0085 0.0270 IBS
HG01624 HG01624 0 1 -0.0090 0.0265 IBS
HG01625 HG01625 0 1 -0.0095 0.0275 IBS
HG01626 HG01626 0 1 -0.0091 0.0264 IBS
HG01628 HG01628 0 1 -0.0063 0.0270 IBS
HG01630 HG01630 0 1 -0.0078 0.0262 IBS
HG01631 HG01631 0 1 -0.0096 0.0282 IBS
HG01632 HG01632 0 1 -0.0092 0.0271 IBS
HG01668 HG01668 0 1 -0.0086 0.0260 IBS
HG01669 HG01669 0 1 -0.0079 0.0264 IBS
HG01670 HG01670 0 1 -0.0091 0.0276 IBS
HG01672 HG01672 0 1 -0.0094 0.0280 IBS
HG01673 HG01673 0 1 -0.0096 0.0277 IBS
HG01675 HG01675 0 1 -0.0096 0.0274 IBS
HG01676 HG01676 0 1 -0.0098 0.0283 IBS
HG01678 HG01678 0 1 -0.0094 0.0273 IBS
HG01679 HG01679 0 1 -0.0095 0.0277 IBS
HG01680 HG01680 0 1 -0.0094 0.0274 IBS
HG01682 HG01682 0 1 -0.0098 0.0276 IBS
HG01684 HG01684 0 1 -0.0099 0.0275 IBS
HG01685 HG01685 0 1 -0.0089 0.0265 IBS
HG01686 HG01686 0 1 -0.0091 0.0272 IBS
HG01694 HG01694 0 1 -0.0070 0.0261 IBS
HG01695 HG01695 0 1 -0.0077 0.0256 IBS
HG01697 HG01697 0 1 -0.0091 0.0263 IBS
HG01699 HG01699 0 1 -0.0090 0.0276 IBS
HG01700 HG01700 0 1 -0.0104 0.0276 IBS
HG01702 HG01702 0 1 -0.0104 0.0286 IBS
HG01704 HG01704 0 1 -0.0083 0.0264 IBS
HG01705 HG01705 0 1 -0.0086 0.0264 IBS
HG01707 HG01707 0 1 -0.0088 0.0271 IBS
HG01708 HG01708 0 1 -0.0092 0.0261 IBS
HG01709 HG01709 0 1 -0.0090 0.0271 IBS
HG01710 HG01710 0 1 -0.0087 0.0273 IBS
HG01746 HG01746 0 1 -0.0096 0.0274 IBS
HG01747 HG01747 0 1 -0.0094 0.0278 IBS
HG01756 HG01756 0 1 -0.0092 0.0266 IBS
HG01757 HG01757 0 1 -0.0091 0.0260 IBS
HG01761 HG01761 0 1 -0.0090 0.0285 IBS
HG01762 HG01762 0 1 -0.0093 0.0281 IBS
HG01765 HG01765 0 1 -0.0091 0.0276 IBS
HG01766 HG01766 0 1 -0.0087 0.0270 IBS
HG01767 HG01767 0 1 -0.0090 0.0272 IBS
HG01768 HG01768 0 1 -0.0089 0.0271 IBS
HG01770 HG01770 0 1 -0.0094 0.0275 IBS
HG01771 HG01771 0 1 -0.0096 0.0285 IBS
HG01773 HG01773 0 1 -0.0095 0.0280 IBS
HG01775 HG01775 0 1 -0.0097 0.0286 IBS
HG01776 HG01776 0 1 -0.0102 0.0270 IBS
HG01777 HG01777 0 1 -0.0096 0.0276 IBS
HG01779 HG01779 0 1 -0.0096 0.0275 IBS
HG01781 HG01781 0 1 -0.0092 0.0280 IBS
HG01783 HG01783 0 1 -0.0088 0.0270 IBS
HG01784 HG01784 0 1 -0.0095 0.0270 IBS
HG01785 HG01785 0 1 -0.0100 0.0283 IBS
HG01786 HG01786 0 1 -0.0099 0.0280 IBS
HG01789 HG01789 0 1 -0.0106 0.0276 GBR
HG01790 HG01790 0 1 -0.0106 0.0276 GBR
HG01791 HG01791 0 1 -0.0103 0.0276 GBR
HG01794 HG01794 0 1 -0.0170 -0.0347 CDX
HG01795 HG01795 0 1 -0.0167 -0.0335 CDX
HG01796 HG01796 0 1 -0.0170 -0.0335 CDX
HG01797 HG01797 0 1 -0.0166 -0.0335 CDX
HG01798 HG01798 0 1 -0.0172 -0.0330 CDX
HG01799 HG01799 0 1 -0.0172 -0.0347 CDX
HG01800 HG01800 0 1 -0.0168 -0.0338 CDX
HG01801 HG01801 0 1 -0.0164 -0.0335 CDX
HG01802 HG01802 0 1 -0.0165 -0.0338 CDX
HG01804 HG01804 0 1 -0.0167 -0.0333 CDX
HG01805 HG01805 0 1 -0.0169 -0.0336 CDX
HG01806 HG01806 0 1 -0.0165 -0.0336 CDX
HG01807 HG01807 0 1 -0.0165 -0.0336 CDX
HG01808 HG01808 0 1 -0.0171 -0.0336 CDX
HG01809 HG01809 0 1 -0.0169 -0.0334 CDX
HG01810 HG01810 0 1 -0.0169 -0.0334 CDX
HG01811 HG01811 0 1 -0.0169 -0.0341 CDX
HG01812 HG01812 0 1 -0.0171 -0.0338 CDX
HG01813 HG01813 0 1 -0.0167 -0.0342 CDX
HG01815 HG01815 0 1 -0.0164 -0.0336 CDX
HG01817 HG01817 0 1 -0.0164 -0.0335 CDX
HG01840 HG01840 0 1 -0.0167 -0.0326 KHV
HG01841 HG01841 0 1 -0.0167 -0.0329 KHV
HG01842 HG01842 0 1 -0.0168 -0.0328 KHV
HG01843 HG01843 0 1 -0.0169 -0.0318 KHV
HG01844 HG01844 0 1 -0.0166 -0.0323 KHV
HG01845 HG01845 0 1 -0.0167 -0.0322 KHV
HG01846 HG01846 0 1 -0.0164 -0.0321 KHV
HG01847 HG01847 0 1 -0.0165 -0.0322 KHV
HG01848 HG01848 0 1 -0.0168 -0.0334 KHV
HG01849 HG01849 0 1 -0.0167 -0.0321 KHV
HG01850 HG01850 0 1 -0.0163 -0.0327 KHV
HG01851 HG01851 0 1 -0.0167 -0.0335 KHV
HG01852 HG01852 0 1 -0.0170 -0.0328 KHV
HG01853 HG01853 0 1 -0.0165 -0.0328 KHV
HG01855 HG01855 0 1 -0.0162 -0.0320 KHV
HG01857 HG01857 0 1 -0.0171 -0.0331 KHV
HG01858 HG01858 0 1 -0.0167 -0.0335 KHV
HG01859 HG01859 0 1 -0.0168 -0.0332 KHV
HG01860 HG01860 0 1 -0.0166 -0.0332 KHV
HG01861 HG01861 0 1 -0.0166 -0.0330 KHV
HG01862 HG01862 0 1 -0.0169 -0.0329 KHV
HG01863 HG01863 0 1 -0.0169 -0.0333 KHV
HG01864 HG01864 0 1 -0.0162 -0.0329 KHV
HG01865 HG01865 0 1 -0.0167 -0.0325 KHV
HG01866 HG01866 0 1 -0.0164 -0.0321 KHV
HG01867 HG01867 0 1 -0.0164 -0.0324 KHV
HG01868 HG01868 0 1 -0.0170 -0.0330 KHV
HG01869 HG01869 0 1 -0.0168 -0.0332 KHV
HG01870 HG01870 0 1 -0.0168 -0.0332 KHV
HG01871 HG01871 0 1 -0.0164 -0.0329 KHV
HG01872 HG01872 0 1 -0.0166 -0.0327 KHV
HG01873 HG01873 0 1 -0.0164 -0.0325 KHV
HG01874 HG01874 0 1 -0.0167 -0.0326 KHV
HG01878 HG01878 0 1 -0.0168 -0.0320 KHV
HG01879 HG01879 0 1 0.0279 -0.0008 ACB
HG01880 HG01880 0 1 0.0142 -0.0015 ACB
HG01882 HG01882 0 1 0.0340 -0.0043 ACB
HG01883 HG01883 0 1 0.0292 -0.0011 ACB
HG01885 HG01885 0 1 0.0328 -0.0035 ACB
HG01886 HG01886 0 1 0.0302 -0.0022 ACB
HG01889 HG01889 0 1 0.0344 -0.0048 ACB
HG01890 HG01890 0 1 0.0295 -0.0016 ACB
HG01892 HG01892 0 1 -0.0113 -0.0039 PEL
HG01893 HG01893 0 1 -0.0080 0.0006 PEL
HG01894 HG01894 0 1 0.0321 -0.0029 ACB
HG01896 HG01896 0 1 0.0343 -0.0053 ACB
HG01912 HG01912 0 1 0.0312 -0.0022 ACB
HG01914 HG01914 0 1 0.0284 -0.0000 ACB
HG01915 HG01915 0 1 0.0320 -0.0029 ACB
HG01917 HG01917 0 1 -0.0147 -0.0073 PEL
HG01918 HG01918 0 1 -0.0148 -0.0035 PEL
HG01920 HG01920 0 1 -0.0165 -0.0113 PEL
HG01921 HG01921 0 1 -0.0148 -0.0040 PEL
HG01923 HG01923 0 1 -0.0158 -0.0112 PEL
HG01924 HG01924 0 1 -0.0094 -0.0074 PEL
HG01926 HG01926 0 1 -0.0170 -0.0128 PEL
HG01927 HG01927 0 1 -0.0163 -0.0102 PEL
HG01932 HG01932 0 1 -0.0151 -0.0039 PEL
HG01933 HG01933 0 1 -0.0104 -0.0041 PEL
HG01935 HG01935 0 1 -0.0145 -0.0026 PEL
HG01936 HG01936 0 1 -0.0126 -0.0010 PEL
HG01938 HG01938 0 1 -0.0164 -0.0123 PEL
HG01939 HG01939 0 1 -0.0143 -0.0028 PEL
HG01941 HG01941 0 1 -0.0127 -0.0077 PEL
HG01942 HG01942 0 1 -0.0151 -0.0063 PEL
HG01944 HG01944 0 1 -0.0153 -0.0176 PEL
HG01945 HG01945 0 1 -0.0152 -0.0045 PEL
HG01947 HG01947 0 1 -0.0129 0.0011 PEL
HG01948 HG01948 0 1 -0.0065 -0.0084 PEL
HG01950 HG01950 0 1 -0.0132 -0.0090 PEL
HG01951 HG01951 0 1 -0.0152 -0.0123 PEL
HG01953 HG01953 0 1 -0.0154 -0.0087 PEL
HG01954 HG01954 0 1 -0.0159 -0.0095 PEL
HG01956 HG01956 0 1 0.0326 -0.0021 ACB
HG01958 HG01958 0 1 0.0291 -0.0019 ACB
HG01961 HG01961 0 1 -0.0169 -0.0131 PEL
HG01965 HG01965 0 1 -0.0099 0.0004 PEL
HG01967 HG01967 0 1 -0.0134 0.0010 PEL
HG01968 HG01968 0 1 -0.0166 -0.0118 PEL
HG01971 HG01971 0 1 -0.0063 -0.0009 PEL
HG01973 HG01973 0 1 -0.0140 -0.0064 PEL
HG01974 HG01974 0 1 -0.0161 -0.0122 PEL
HG01976 HG01976 0 1 -0.0138 -0.0004 PEL
HG01977 HG01977 0 1 -0.0148 -0.0048 PEL
HG01979 HG01979 0 1 -0.0141 -0.0010 PEL
HG01980 HG01980 0 1 -0.0136 -0.0030 PEL
HG01982 HG01982 0 1 -0.0149 -0.0043 PEL
HG01985 HG01985 0 1 0.0321 -0.0029 ACB
HG01986 HG01986 0 1 0.0296 -0.0008 ACB
HG01988 HG01988 0 1 0.0155 0.0100 ACB
HG01989 HG01989 0 1 0.0283 -0.0006 ACB
HG01990 HG01990 0 1 0.0320 -0.0034 ACB
HG01991 HG01991 0 1 -0.0139 -0.0037 PEL
HG01992 HG01992 0 1 -0.0161 -0.0091 PEL
HG01997 HG01997 0 1 -0.0156 -0.0082 PEL
HG02002 HG02002 0 1 -0.0148 -0.0040 PEL
HG02003 HG02003 0 1 -0.0150 -0.0062 PEL
HG02006 HG02006 0 1 0.0059 0.0026 PEL
HG02008 HG02008 0 1 -0.0152 -0.0067 PEL
HG02009 HG02009 0 1 0.0287 -0.0006 ACB
HG02010 HG02010 0 1 0.0280 0.0001 ACB
HG02012 HG02012 0 1 0.0323 -0.0032 ACB
HG02013 HG02013 0 1 0.0341 -0.0047 ACB
HG02014 HG02014 0 1 0.0302 -0.0008 ACB
HG02016 HG02016 0 1 -0.0160 -0.0292 KHV
HG02017 HG02017 0 1 -0.0165 -0.0315 KHV
HG02019 HG02019 0 1 -0.0168 -0.0327 KHV
HG02020 HG02020 0 1 -0.0163 -0.0325 KHV
HG02023 HG02023 0 1 -0.0164 -0.0332 KHV
HG02025 HG02025 0 1 -0.0171 -0.0335 KHV
HG02026 HG02026 0 1 -0.0167 -0.0338 KHV
HG02028 HG02028 0 1 -0.0168 -0.0327 KHV
HG02029 HG02029 0 1 -0.0168 -0.0342 KHV
HG02031 HG02031 0 1 -0.0166 -0.0339 KHV
HG02032 HG02032 0 1 -0.0170 -0.0338 KHV
HG02035 HG02035 0 1 -0.0166 -0.0327 KHV
HG02040 HG02040 0 1 -0.0169 -0.0327 KHV
HG02047 HG02047 0 1 -0.0169 -0.0331 KHV
HG02048 HG02048 0 1 -0.0166 -0.0320 KHV
HG02049 HG02049 0 1 -0.0166 -0.0328 KHV
HG02050 HG02050 0 1 -0.0165 -0.0327 KHV
HG02051 HG02051 0 1 0.0349 -0.0051 ACB
HG02052 HG02052 0 1 0.0347 -0.0046 ACB
HG02053 HG02053 0 1 0.0324 -0.0036 ACB
HG02054 HG02054 0 1 0.0295 -0.0017 ACB
HG02057 HG02057 0 1 -0.0161 -0.0323 KHV
HG02058 HG02058 0 1 -0.0156 -0.0307 KHV
HG02060 HG02060 0 1 -0.0169 -0.0331 KHV
HG02061 HG02061 0 1 -0.0169 -0.0330 KHV
HG02064 HG02064 0 1 -0.0166 -0.0330 KHV
HG02067 HG02067 0 1 -0.0164 -0.0326 KHV
HG02069 HG02069 0 1 -0.0164 -0.0319 KHV
HG02070 HG02070 0 1 -0.0166 -0.0325 KHV
HG02072 HG02072 0 1 -0.0165 -0.0321 KHV
HG02073 HG02073 0 1 -0.0169 -0.0329 KHV
HG02075 HG02075 0 1 -0.0165 -0.0326 KHV
HG02076 HG02076 0 1 -0.0168 -0.0333 KHV
HG02078 HG02078 0 1 -0.0167 -0.0335 KHV
HG02079 HG02079 0 1 -0.0166 -0.0334 KHV
HG02081 HG02081 0 1 -0.0172 -0.0334 KHV
HG02082 HG02082 0 1 -0.0169 -0.0330 KHV
HG02084 HG02084 0 1 -0.0166 -0.0329 KHV
HG02085 HG02085 0 1 -0.0170 -0.0328 KHV
HG02086 HG02086 0 1 -0.0169 -0.0324 KHV
HG02087 HG02087 0 1 -0.0163 -0.0334 KHV
HG02088 HG02088 0 1 -0.0165 -0.0341 KHV
HG02089 HG02089 0 1 -0.0134 0.0006 PEL
HG02090 HG02090 0 1 -0.0076 0.0008 PEL
HG02095 HG02095 0 1 0.0325 -0.0035 ACB
HG02102 HG02102 0 1 -0.0150 -0.0071 PEL
HG02104 HG02104 0 1 -0.0155 -0.0092 PEL
HG02105 HG02105 0 1 -0.0166 -0.0107 PEL
HG02107 HG02107 0 1 0.0342 -0.0047 ACB
HG02108 HG02108 0 1 0.0272 0.0012 ACB
HG02111 HG02111 0 1 0.0323 -0.0033 ACB
HG02113 HG02113 0 1 -0.0168 -0.0323 KHV
HG02116 HG02116 0 1 -0.0168 -0.0323 KHV
HG02121 HG02121 0 1 -0.0165 -0.0321 KHV
HG02122 HG02122 0 1 -0.0161 -0.0337 KHV
HG02127 HG02127 0 1 -0.0169 -0.0335 KHV
HG02128 HG02128 0 1 -0.0169 -0.0325 KHV
HG02130 HG02130 0 1 -0.0171 -0.0319 KHV
HG02131 HG02131 0 1 -0.0157 -0.0287 KHV
HG02133 HG02133 0 1 -0.0166 -0.0326 KHV
HG02134 HG02134 0 1 -0.0169 -0.0333 KHV
HG02136 HG02136 0 1 -0.0165 -0.0323 KHV
HG02137 HG02137 0 1 -0.0173 -0.0334 KHV
HG02138 HG02138 0 1 -0.0163 -0.0323 KHV
HG02139 HG02139 0 1 -0.0167 -0.0324 KHV
HG02140 HG02140 0 1 -0.0166 -0.0323 KHV
HG02141 HG02141 0 1 -0.0166 -0.0329 KHV
HG02142 HG02142 0 1 -0.0163 -0.0270 KHV
HG02143 HG02143 0 1 0.0275 0.0008 ACB
HG02144 HG02144 0 1 0.0325 -0.0033 ACB
HG02146 HG02146 0 1 -0.0156 -0.0082 PEL
HG02147 HG02147 0 1 -0.0160 -0.0097 PEL
HG02150 HG02150 0 1 -0.0166 -0.0104 PEL
HG02151 HG02151 0 1 -0.0165 -0.0330 CDX
HG02152 HG02152 0 1 -0.0167 -0.0333 CDX
HG02153 HG02153 0 1 -0.0167 -0.0327 CDX
HG02154 HG02154 0 1 -0.0171 -0.0337 CDX
HG02155 HG02155 0 1 -0.0168 -0.0344 CDX
HG02156 HG02156 0 1 -0.0169 -0.0336 CDX
HG02164 HG02164 0 1 -0.0167 -0.0328 CDX
HG02165 HG02165 0 1 -0.0165 -0.0329 CDX
HG02166 HG02166 0 1 -0.0168 -0.0337 CDX
HG02178 HG02178 0 1 -0.0165 -0.0341 CDX
HG02180 HG02180 0 1 -0.0170 -0.0342 CDX
HG02181 HG02181 0 1 -0.0162 -0.0337 CDX
HG02182 HG02182 0 1 -0.0172 -0.0341 CDX
HG02184 HG02184 0 1 -0.0169 -0.0337 CDX
HG02185 HG02185 0 1 -0.0166 -0.0336 CDX
HG02186 HG02186 0 1 -0.0169 -0.0331 CDX
HG02187 HG02187 0 1 -0.0166 -0.0339 CDX
HG02188 HG02188 0 1 -0.0168 -0.0341 CDX
HG02190 HG02190 0 1 -0.0167 -0.0336 CDX
HG02215 HG02215 0 1 -0.0104 0.0279 GBR
HG02219 HG02219 0 1 -0.0092 0.0277 IBS
HG02220 HG02220 0 1 -0.0094 0.0270 IBS
HG02221 HG02221 0 1 -0.0095 0.0279 IBS
HG02223 HG02223 0 1 -0.0093 0.0273 IBS
HG02224 HG02224 0 1 -0.0099 0.0280 IBS
HG02230 HG02230 0 1 -0.0100 0.0282 IBS
HG02231 HG02231 0 1 -0.0099 0.0284 IBS
HG02232 HG02232 0 1 -0.0092 0.0281 IBS
HG02233 HG02233 0 1 -0.0091 0.0270 IBS
HG02235 HG02235 0 1 -0.0094 0.0272 IBS
HG02236 HG02236 0 1 -0.0096 0.0274 IBS
HG02238 HG02238 0 1 -0.0087 0.0278 IBS
HG02239 HG02239 0 1 -0.0086 0.0262 IBS
HG02250 HG02250 0 1 -0.0167 -0.0328 CDX
HG02252 HG02252 0 1 -0.0138 -0.0003 PEL
HG02253 HG02253 0 1 -0.0133 0.0054 PEL
HG02255 HG02255 0 1 0.0319 -0.0038 ACB
HG02256 HG02256 0 1 0.0253 0.0009 ACB
HG02259 HG02259 0 1 -0.0164 -0.0123 PEL
HG02260 HG02260 0 1 -0.0152 -0.0068 PEL
HG02262 HG02262 0 1 -0.0149 -0.0045 PEL
HG02265 HG02265 0 1 -0.0158 -0.0100 PEL
HG02266 HG02266 0 1 -0.0158 -0.0109 PEL
HG02271 HG02271 0 1 -0.0163 -0.0121 PEL
HG02272 HG02272 0 1 -0.0166 -0.0128 PEL
HG02274 HG02274 0 1 -0.0028 -0.0053 PEL
HG02275 HG02275 0 1 -0.0165 -0.0109 PEL
HG02277 HG02277 0 1 -0.0146 -0.0010 PEL
HG02278 HG02278 0 1 -0.0152 -0.0095 PEL
HG02281 HG02281 0 1 0.0344 -0.0043 ACB
HG02282 HG02282 0 1 0.0267 0.0009 ACB
HG02283 HG02283 0 1 0.0262 0.0008 ACB
HG02284 HG02284 0 1 0.0284 -0.0007 ACB
HG02285 HG02285 0 1 -0.0148 -0.0050 PEL
HG02286 HG02286 0 1 -0.0145 -0.0037 PEL
HG02291 HG02291 0 1 -0.0164 -0.0123 PEL
HG02292 HG02292 0 1 -0.0163 -0.0067 PEL
HG02298 HG02298 0 1 -0.0132 0.0019 PEL
HG02299 HG02299 0 1 -0.0156 -0.0077 PEL
HG02301 HG02301 0 1 -0.0147 -0.0051 PEL
HG02304 HG02304 0 1 -0.0125 -0.0068 PEL
HG02307 HG02307 0 1 0.0327 -0.0035 ACB
HG02308 HG02308 0 1 0.0308 -0.0020 ACB
HG02309 HG02309 0 1 0.0310 -0.0019 ACB
HG02312 HG02312 0 1 -0.0135 0.0025 PEL
HG02314 HG02314 0 1 0.0325 -0.0029 ACB
HG02315 HG02315 0 1 0.0298 -0.0011 ACB
HG02317 HG02317 0 1 0.0332 -0.0040 ACB
HG02318 HG02318 0 1 0.0332 -0.0043 ACB
HG02322 HG02322 0 1 0.0296 -0.0013 ACB
HG02323 HG02323 0 1 0.0327 -0.0029 ACB
HG02325 HG02325 0 1 0.0339 -0.0050 ACB
HG02330 HG02330 0 1 0.0304 -0.0017 ACB
HG02332 HG02332 0 1 0.0314 -0.0025 ACB
HG02334 HG02334 0 1 0.0241 0.0022 ACB
HG02337 HG02337 0 1 0.0307 -0.0021 ACB
HG02339 HG02339 0 1 0.0347 -0.0043 ACB
HG02343 HG02343 0 1 0.0259 0.0020 ACB
HG02345 HG02345 0 1 -0.0101 0.0011 PEL
HG02348 HG02348 0 1 -0.0150 -0.0069 PEL
HG02351 HG02351 0 1 -0.0166 -0.0329 CDX
HG02353 HG02353 0 1 -0.0164 -0.0339 CDX
HG02355 HG02355 0 1 -0.0171 -0.0335 CDX
HG02356 HG02356 0 1 -0.0167 -0.0340 CDX
HG02360 HG02360 0 1 -0.0166 -0.0335 CDX
HG02364 HG02364 0 1 -0.0159 -0.0341 CDX
HG02367 HG02367 0 1 -0.0169 -0.0336 CDX
HG02371 HG02371 0 1 -0.0170 -0.0341 CDX
HG02373 HG02373 0 1 -0.0166 -0.0337 CDX
HG02374 HG02374 0 1 -0.0169 -0.0332 CDX
HG02375 HG02375 0 1 -0.0167 -0.0340 CDX
HG02382 HG02382 0 1 -0.0165 -0.0331 CDX
HG02383 HG02383 0 1 -0.0167 -0.0333 CDX
HG02384 HG02384 0 1 -0.0168 -0.0338 CDX
HG02385 HG02385 0 1 -0.0163 -0.0343 CDX
HG02386 HG02386 0 1 -0.0168 -0.0328 CDX
HG02389 HG02389 0 1 -0.0171 -0.0345 CDX
HG02390 HG02390 0 1 -0.0166 -0.0334 CDX
HG02391 HG02391 0 1 -0.0171 -0.0336 CDX
HG02392 HG02392 0 1 -0.0172 -0.0341 CDX
HG02394 HG02394 0 1 -0.0164 -0.0326 CDX
HG02395 HG02395 0 1 -0.0166 -0.0334 CDX
HG02396 HG02396 0 1 -0.0173 -0.0340 CDX
HG02397 HG02397 0 1 -0.0170 -0.0335 CDX
HG02398 HG02398 0 1 -0.0170 -0.0331 CDX
HG02399 HG02399 0 1 -0.0165 -0.0340 CDX
HG02401 HG02401 0 1 -0.0164 -0.0340 CDX
HG02402 HG02402 0 1 -0.0166 -0.0337 CDX
HG02406 HG02406 0 1 -0.0174 -0.0336 CDX
HG02407 HG02407 0 1 -0.0165 -0.0337 CDX
HG02408 HG02408 0 1 -0.0168 -0.0336 CDX
HG02409 HG02409 0 1 -0.0171 -0.0330 CDX
HG02410 HG02410 0 1 -0.0169 -0.0335 CDX
HG02419 HG02419 0 1 0.0324 -0.0041 ACB
HG02420 HG02420 0 1 0.0165 0.0085 ACB
HG02425 HG02425 0 1 -0.0112 0.0030 PEL
HG02427 HG02427 0 1 0.0319 -0.0027 ACB
HG02429 HG02429 0 1 0.0317 -0.0026 ACB
HG02433 HG02433 0 1 0.0301 -0.0025 ACB
HG02439 HG02439 0 1 0.0326 -0.0036 ACB
HG02442 HG02442 0 1 0.0346 -0.0056 ACB
HG02445 HG02445 0 1 0.0281 0.0001 ACB
HG02449 HG02449 0 1 0.0331 -0.0041 ACB
HG02450 HG02450 0 1 0.0320 -0.0026 ACB
HG02455 HG02455 0 1 0.0285 -0.0012 ACB
HG02461 HG02461 0 1 0.0346 -0.0053 GWD
HG02462 HG02462 0 1 0.0336 -0.0036 GWD
HG02464 HG02464 0 1 0.0356 -0.0054 GWD
HG02465 HG02465 0 1 0.0353 -0.0051 GWD
HG02470 HG02470 0 1 0.0329 -0.0030 ACB
HG02471 HG02471 0 1 0.0326 -0.0027 ACB
HG02476 HG02476 0 1 0.0284 -0.0007 ACB
HG02477 HG02477 0 1 0.0298 -0.0015 ACB
HG02481 HG02481 0 1 0.0316 -0.0034 ACB
HG02484 HG02484 0 1 0.0308 -0.0019 ACB
HG02485 HG02485 0 1 0.0236 0.0032 ACB
HG02489 HG02489 0 1 0.0297 -0.0016 ACB
HG02490 HG02490 0 1 -0.0109 0.0130 PJL
HG02491 HG02491 0 1 -0.0104 0.0115 PJL
HG02493 HG02493 0 1 -0.0094 0.0119 PJL
HG02494 HG02494 0 1 -0.0104 0.0126 PJL
HG02496 HG02496 0 1 0.0321 -0.0029 ACB
HG02497 HG02497 0 1 0.0332 -0.0039 ACB
HG02501 HG02501 0 1 0.0265 0.0014 ACB
HG02502 HG02502 0 1 0.0273 -0.0002 ACB
HG02505 HG02505 0 1 0.0309 -0.0022 ACB
HG02508 HG02508 0 1 0.0321 -0.0041 ACB
HG02511 HG02511 0 1 0.0329 -0.0041 ACB
HG02512 HG02512 0 1 -0.0166 -0.0326 KHV
HG02513 HG02513 0 1 -0.0170 -0.0336 KHV
HG02521 HG02521 0 1 -0.0167 -0.0324 KHV
HG02522 HG02522 0 1 -0.0165 -0.0336 KHV
